"CF_PR","UP_CF1","UP_CF2","UP_CF3","UP_CF4","UP_CF5","DW_CF1","DW_CF2","DW_CF3","DW_CF4","DW_CF5","WT1","CTR_IF1","CTR_TH1","CTR_IF2","CTR_TH2","CTR_IF3","CTR_TH3","CTR_IF4","CTR_TH4","CRT_IF5","CTR_TH5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","GAF_Q1","Regret","Guilt","Shame","Comments","Gender","Age","Race","Ethnicity","Origin","Education","Marital","Live","Spirituality","Upward_Participants","Downward_Participants","Control_Participants","UP_Coun_Num","DOWN_Coun_Num","Participants","Count_Num","CF_1","CF_2","CF_3","CF_4","CF_5","CF_1_Tot","CF_2_Tot","CF_3_Tot","CF_4_Tot","CF_5_Tot","CF_Tot","CF_Tot_All","Postitive_Affect","Negative_Affect"
"I remember being at a conference meeting and feeling very out of place. The feeling made me physically upset my stomach was turning and I felt like I was going to throw up. I found myself looking for support or reassurance. It made me think about how I often got this feeling here at Wake. Being the only woman of color in some of my classes and feeling the heftiness that my answers carried in class discussions. It made me realize how heavy the atmosphere felt and what my place was in the classroom.","","","","","","If I speak up will I be considered a ""disruption in class"" and have no one listen to my answer","If I stay quiet will I viewed as someone who doesn't understand the material","If I speak up and give a ""wrong"" answer will I be labeled as someone that doesn't belong here","If I stay quiet- how does this shift the way people view women of color","","I wake up and turn off my alarms as I usually have more than one to make sure my suitemates aren't awakened by the noise.
I go to the shared bathroom and brush my teeth and take my cup with my toothbrush and tongue scrapper and toothpaste 
I then use the bathroom if i nee
",9,8,4,9,9,3,8,7,3,3,2,4,3,4,2,5,4,4,2,3,4,4,5,3,4,2,3,4,2,4,"I feel overwhelmed by it sometimes and don't know if it is something I should be talking about alone",5,5,5,"Maybe a little bit more time for the everyday tasks list haha","Female","20","Latina",1,"United States",2,2,3,4,0,1,0,0,4,"2",4,72,36,27,56,9,18,9,6.75,14,2.25,157,31.4,26,42
"My ex boyfriend asked to get back together recently and I said no which caused a huge fight and a really stressful outcome from my response.","if I said yes then he would've been kinder to me","if I said no to now but yes to being together in future, then maybe our fight wouldn't of been that big","","","","","","","","","On a typical school day, I wake up, get dressed quickly, and head to class. I usually have two morning classes back to back so I will go to those. Then I will meet my friend for lunch and study for two hours until my afternoon class. Once that class is finished, I will probably go to the library to study more. Then I will meet friends for dinner and to relax for a bit. I will go to the library at night for a few more hours to do work. Then I will come back to my room, get dressed for bed and text/call friends. I will probably then watch something or scroll through social media until I fall asleep.",2,5,7,9,3,3,3,3,3,3,3,1,1,3,1,1,1,1,1,1,2,2,1,1,1,2,2,3,1,1,"sad",1,2,1,"","female","19","white",2,"Canada",1,2,1,4,1,0,0,2,0,"1",2,10,63,9,9,9,5,31.5,4.5,4.5,4.5,45,9,15,15
"A recent negative experience that I had was that a couple people in my roommate group left at 1am the day of housing registration without telling us. This meant that we not only would not be able to live in one of the 6 people rooms we had wanted to live in but that we also got stuck with a much later registration time. Because of this, we got stuck living somewhere unideal and with random people we didn't know as well. Subsequently, the friendship between those who left the roommate group and the rest of us has deteriorated and we no longer hang out with them because we do not respect or trust them.","","","","","","","","","","","First I wake up, brush my teeth, get dressed, and leave for class. I usually grab lunch at the pit at some point with a couple of friends and then after class, I usually go to the gym. Then I usually go to the pit around 4:30 after I work out with a few friends, after which we hang out, play video games, watch TV, smoke, etc. Then I usually sit down for a while in my room and get my homework done. After this, I grab dinner at Benson or Subway with friends or alone. Then I get back to my dorm and hang out with my friends some more before I head back to my room to watch a little TV before I shower and then go to bed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,2,1,1,3,3,2,3,2,2,2,2,3,3,5,1,"Not very good",1,1,1,"None","Male","18","White",2,"USA",1,2,1,3,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,19
"I recently was rejected from a summer opportunity. The outcome was positive because it pushed me towards another opportunity that i think will be better for me and pushed me to fully embrace it without worrying about turning something down and missing out.","if i would have gotten in, i would have had more options","if i had more options, i would have struggled with indecision and making the wrong choice","if i had known my interview experience wasnt as positive as i thought it was, i would have lowered my expectations","if i had chosen that program instead, i would have let people down who were relying on me","na","","","","","","i wake up at 645 and immediately get up and get ready. at 7am i leave my suite and walk to farrel, where i get an einsteins bacon egg and cheese three days a week. i sit and eat and drink my coffee and do work/check the internet until 745. then i go to my 8 am class, which i have every day. then i go to my 10 am class, then i have another class depending on the day and am typically done by noon. i either get lunch with friends or go downtown to grab lunch at wake downtown before research. sometimes i volunteer in the afternoon. i spend my free time doing homework. i go run for an hour and a half most afternoons. by 8pm i am tired and start to wind down. i watch tv or youtube or browse the internet. then around 10pm i am exhausted and go to bed.",9,5,9,9,3,4,8,4,3,3,3,1,3,1,3,1,1,1,3,3,2,2,1,1,1,2,2,3,3,1,"not concerned",1,1,1,"no","female","19","white",2,"us",2,2,1,3,1,0,0,4,0,"1",4,45,81,12,32,9,11.25,20.25,3,8,2.25,94,18.8,25,13
"I was mean to a friend and i lost that friend","","","","","","I was mean to my friend and lost her but if i was nicer i would still have that friend","","","","","I get to sleep in every day until 11 am. Then I go to class at 12, eat lunch and either relax or go to the gym. Then shower and dinner. After dinner, I do homework and eat dessert. Then I will go back to my room, relax, and go to bed. I like watching tv before bed. I also pick out my clothes for the next day before then I basically wake up and do it all over again.",8,7,3,8,3,3,3,3,3,3,4,4,4,2,3,1,1,2,4,4,3,3,2,3,3,3,2,3,4,2,"",2,2,3,"","female","19","white",2,"usa",1,2,2,3,0,1,0,0,1,"2",1,56,24,9,9,9,56,24,9,9,9,45,9,34,23
"One of my friend continues to make comments on people's physical appearance and it's really bothering me. He just continues to make note of certain physical imperfections on people. A lot of these qualities are things that don't matter and also cannot be controlled. I really want to say something to him but I'm also worried it might hurt the friendship. At the same time, I feel like it's already hurting the friendship and if I say something it could only help. This is just a bit of a dilemma I'm having.","","","","","","","","","","","I wake up and get dressed. Sometimes I have to mess with my hair because it's getting really long too. Then I go to whatever my first class is, or work if it's Thursday. After classes, I'll go one of three places: to get food, to the library to study or to my room to chill. After I'm done with classes and work for the day, I like to play basketball with my friends or go to the gym on some occasions. Then, I'll grab dinner with one of my friends. Later, it's time to do homework and prepare for classes tomorrow. If I'm lucky, there is usually an hour left in my day to spend just talking to my friends or watching a show. I'm usually in bed before 2:00 am after showering and brushing my teeth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,2,3,4,4,3,2,4,4,2,3,3,4,2,1,3,4,"The same as before. I'm not sure anything is going to change.",3,2,1,"no","Male","19","White",2,"United States of America",1,2,2,1,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,30
"I got frustrated with my friend because he wasn't respecting my boundaries. I got angry at him and we stopped talking for bit, but then I forgave him and he continued to disrespect my boundaries but to a lesser extent","I could have said nothing and the boundaries could have continued to be pushed","I could have continued to be angry, and we wouldn't be talking","I could have talked to him in a more respectful manner about my discomfort and he would have stopped all together","","","","","","","","I wake up and go on my phone for a bit. I then get out of bed and eat a snack, brush my teeth, fix myself up and leave. I then either go to class or research for a while. I then eat lunch and either do some work or go to class. I then will usually go to practice and then eat dinner. I will then shower and get some work done. Then I will either watch tv with my suitemate, play video games, or go on my phone until I go to bed, where I usually will listen to a video and fall asleep.",2,4,2,2,6,8,3,3,3,3,3,2,1,1,5,1,1,2,2,4,2,1,1,1,1,1,1,1,1,1,"Pretty neutral right now",1,1,1,"","Male","21","White",2,"USA",3,2,2,2,1,0,0,3,0,"1",3,8,4,48,9,9,2.66666666666667,1.33333333333333,16,3,3,84,16.8,20,13
"One time I was mean to one of my best friends. My friend group very rudely cut her out of our group and we were very awful and exclusive. When time passed and we all grew from the situation, we all apologized to her and started a new.","","","","","","If she would've been refuting the apology, there would have been no resolution.","","","","","Typically, I wake up and take a shower. Then I got to Starbucks and spent money on coffee I just don't have. My favorite part of the day is listening to music on the way to class. It always determines my mood. I go to my classes and after I get lunch or just walk back to my suite. Then I chat and gossip with my suite mates. We usually all either do homework outside or watch a movie/tv show we all lover while doing work on the couch. We then usually go to the north pit and eat a big meal. After that we go back home and do more work separately in our beds. My roommate and I get ready for bed and then we take turns reading a book out loud to each other about love. After that, we get ready for bed and I watch YouTube, arms, or a movie before falling asleep with my AirPods in. Ten minutes later I wake up, put my AirPods away and then go back to sleep for the rest of the night.",9,9,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,3,2,1,1,1,1,2,2,2,2,1,3,3,3,2,1,"I feel fine.",5,5,6,"","female","20","White",2,"USA",2,2,2,5,0,1,0,0,1,"2",1,81,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,24,19
"This past week I have been really stressed out because of school work and planning some things for the future. Sometimes, this has led me to be short with my friends or to want to isolate myself while everyone else is hanging out. When I feel the need the have some time to myself, I usually take that time, and then do something that releases stress. This most often is going on a walk or run. By then it is usually around dinner time, so I can enjoy a meal with my friends. This is what happened a couple of days ago. After my run, even though it was short, I was in a better mood, and I was able to enjoy the meal with my friends.","","","","","","","","","","","I usually wake up to my third alarm after snoozing the first couple. I get out of bed, make my bed, brush my teeth and wash my face in the bathroom. Then I do my skincare or any make up I want to wear for day which is usually just moisturizer, concealer, and mascara. I do this while drinking coffee. I then get dressed and go to my first class of the day. In between classes, I usually come back to my room to get work done and eat a snack. I sometimes just lay back down though or talk with my suite mates. I sometimes also squeeze in a lunch with some friends. Then I go to my last class of the day which ends in the afternoon. I usually do a little bit of homework and eat a snack. Then I do some type of exercise. Right now, I am rotating between running, walking, or hot yoga classes. I try to be working out for at least 45 minutes, but if I am walking I usually walk for an hour and call a family member or a friend from home. When I get back from my workout, I usually eat dinner on campus with my friends. Recently, we have been eating outside on the quad. After dinner, I either do my homework or shower. Then I talk to my suite mates a little more before going to bed. I undo my bed, change into pajamas, brush my teeth, do skincare, and then get in bed. I usually get in bed and either read or watch a little tv.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,"I think I took steps to make the outcome the best it could be and I got to spend time with my friends.",2,3,2,"","female","20","white and asian",2,"United States",2,2,2,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12
"I had a negative experience when I got in a bad fight with my mom about grades. This took a toll on me, but it was eventually resolved. It always stays in my head when I think about negative expereiences with my mom.","i could have lowered my voice","tried to hear my mom out","","","","","","","","","wake up, brush and get ready for school. Go to class then either take a nap or do homework adn then eat lunch. depending on the day I will have work from 3-6pm. Then i go to the gym for about 1hr 30mins and then I eat dinner. After that I shower and chill in my room either hang out with friends or catch up on work. And then I try and get into bed before 12:30-1ish.",7,3,3,8,3,3,3,3,3,3,3,4,4,3,4,2,2,2,3,3,4,3,3,3,4,3,3,3,3,3,"Greatful that it was resolved",4,4,5,"nope","male","18","Asian",2,"United States",1,2,2,3,1,0,0,2,0,"1",2,21,24,9,9,9,10.5,12,4.5,4.5,4.5,45,9,32,30
"","","","","","","","","","","","from the moment I wake up, I usually spend a little time in bed while I completely wake up. During this I usually check any emails or texts I might have received after falling asleep. After this I brush my teeth and change. Then I head out to class. Usually in between classes I will grab something to eat. Depending on the day I may be in a bio or chemistry lab till late in the day, and if this is a day I have a lab I usually eat dinner after leaving lab. I then usually go to zsr to do any homework or assignments that are due before class the next day. I also usually have a test that I have to study for. After being at zsr for a couple of hours I usually go back to my dorm and shower. I then usually will either watch some netflix or scroll on tiktok till I fall asleep sometime around midnight or 1:00 AM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,3,1,1,1,4,5,1,3,1,3,1,4,4,1,NA,1,"",1,1,1,"","Male","19","hispanic",1,"United states",1,2,1,3,1,0,0,0,0,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Last week, I was studying for my test I had the next day when I got a text from my big in my sorority saying “Are you going out to this place tonight? Half the girls in your class are here.” It sent me into a panic because I knew I was doing the right thing to study before my test. But it just amplified my guilt and anxiety about not being a fun or exciting person. As a pre-med student, I take a lot of classes that require me to study a lot more than my peers, which sometimes isolates me from spending time with them, be it going out to dinners or going out at night. I miss out on fun activities, so when I do go, it is more awkward because i feel like i missed everything and i have no clue whats going on.","","","","","","","","","","","I wake up around 9 or 10 (usually right before my first class) and am in class until 1. Sometimes i eat lunch by myself in my room, sometimes i grab lunch with friends, or sometimes i don’t get lunch because i go straight downtown to work at a research lab after classes. I usually get back around 4. Then i will relax in my room and later go get dinner with friends. Around 8 or 9, I’ll start studying and wont go back to the room until 12 or 1. I shower and then usually chat with my roommate about the day. I go to bed around 1 or 2. I have been recently trying to fit in working out, but my schedule gets so busy and i feel so tired during the day that it is difficult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,1,2,4,1,2,1,1,2,5,1,5,4,3,1,3,3,"I feel very unsettled about it because it makes me feel like a boring person. I also feel like she is disappointed because we are friends, but her friend (me) is not having a good time like everyone else. It is a bit isolating. I hate the pressure, but i want to be included.",1,6,7,"No. I forgot to mention that i just texted her back saying that i could not go out because i had a test, but i wish i could.","Female","18","Asian",2,"Born in America, but i am Korean",1,2,2,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28
"I had applied to a job and they said they’d get back to me but never did. A week later I went in to ask them what the deal was and they had given the job away and apologized for not reaching out but couldn’t offer me another job.","","","","","","If I would’ve came in angrier then they probably never would’ve wanted to hire me","","","","","I wake up and get ready for class. Then I go to my classes and grab lunch afterwards. Then I usually go back to my room and watch TikTok and then I do homework sometimes. Then I’ll probably grab dinner with friends or Grubhub something. Then I’ll come back do some more work and then watch TikTok until I shower. Once I shower then I get ready for bed and then watch TikTok again until like midnight and then I take melatonin and go to sleep. Sometimes I’ll listen to music when I go to bed.",4,9,4,8,NA,NA,NA,NA,NA,NA,3,2,1,1,2,1,1,1,3,3,3,3,1,3,3,3,3,3,3,1,"I feel fine. Still holding a bit of a grudge but I love their food",1,1,1,"","Female","19","Asian",2,"China",1,2,1,2,0,1,0,0,1,"2",1,36,32,NA,NA,NA,36,32,NA,NA,NA,NA,NA,27,17
"When I had my last negative experience, which was not doing well on a test, I cried, then complained, then accepted it and decided how I will fix it.","If I studied more, then I would have done better on my test.","If I did not sit next to my friend, then I would not have been distracted.","","","","","","","","","I wake up and immediately get ready. Each day I go to Caminos coffee shop in the library and get an iced coffee before my first class. Then, I go to my 930 class, then my 11 am class. After that, I quickly get lunch and another coffee, then go to the library to do any work or studying that I have. Then I go to the gym, shower, and get ready for my next class. Then I go to my 330 class. After that, I relax for a bit, hang out with friends, then get dinner with those friends. After that, I do anything else I have left on my to-do list (such as laundry), then I relax and hang out with my friends again before I go to bed.",5,4,9,9,NA,NA,NA,NA,NA,NA,4,2,5,1,4,1,1,1,5,4,2,3,1,5,1,5,5,2,4,1,"I feel much better, because I know how to fix it.",3,3,2,"","female","18","White",2,"United States",1,2,2,5,1,0,0,2,0,"1",2,20,81,NA,NA,NA,10,40.5,NA,NA,NA,NA,NA,44,13
